product_code,price_zar,year
PROD26225SA,349,2024
PROD26225SA,1730,2025
PROD234053SA,1846,2024
PROD234053SA,544,2025
PROD709570SA,1548,2024
PROD709570SA,1716,2025
PROD619176SA,1425,2024
PROD619176SA,200,2025
PROD98246SA,598,2024
PROD98246SA,71,2025
PROD631262SA,806,2024
PROD631262SA,116,2025
PROD750800SA,348,2024
PROD750800SA,1763,2025
PROD439898SA,1186,2024
PROD439898SA,1612,2025
PROD291704SA,1991,2024
PROD291704SA,453,2025
PROD356778SA,1770,2024
PROD356778SA,468,2025
PROD800581SA,1340,2024
PROD800581SA,476,2025
PROD398382SA,1402,2024
PROD398382SA,438,2025
PROD633052SA,566,2024
PROD633052SA,1349,2025
PROD562275SA,853,2024
PROD562275SA,1066,2025
PROD578856SA,56,2024
PROD578856SA,1785,2025
PROD928463SA,1613,2024
PROD928463SA,1995,2025
PROD738797SA,1586,2024
PROD738797SA,1412,2025
PROD810620SA,33,2024
PROD810620SA,985,2025
PROD908573SA,1881,2024
PROD908573SA,285,2025
PROD475435SA,1340,2024
PROD475435SA,369,2025
PROD388162SA,1246,2024
PROD388162SA,1655,2025
PROD735911SA,32,2024
PROD735911SA,473,2025
PROD638720SA,531,2024
PROD638720SA,1260,2025
PROD764544SA,1663,2024
PROD764544SA,1946,2025
PROD397887SA,640,2024
PROD397887SA,1474,2025
PROD230283SA,1995,2024
PROD230283SA,1467,2025
PROD240174SA,1331,2024
PROD240174SA,578,2025
PROD280746SA,882,2024
PROD280746SA,1848,2025
PROD918938SA,786,2024
PROD918938SA,1759,2025
PROD687277SA,729,2024
PROD687277SA,955,2025
PROD149811SA,531,2024
PROD149811SA,461,2025
PROD781177SA,970,2024
PROD781177SA,633,2025
PROD783300SA,1401,2024
PROD783300SA,1081,2025
PROD418801SA,1703,2024
PROD418801SA,1292,2025
PROD534277SA,828,2024
PROD534277SA,1212,2025
PROD902931SA,224,2024
PROD902931SA,30,2025
PROD830555SA,1062,2024
PROD830555SA,1371,2025
PROD66613SA,1994,2024
PROD66613SA,1742,2025
PROD490785SA,1734,2024
PROD490785SA,781,2025
PROD902592SA,1164,2024
PROD902592SA,1340,2025
PROD714825SA,1231,2024
PROD714825SA,1262,2025
PROD116970SA,593,2024
PROD116970SA,626,2025
PROD475763SA,1416,2024
PROD475763SA,236,2025
PROD524902SA,1001,2024
PROD524902SA,145,2025
PROD912804SA,703,2024
