product_code,division,category,product,variant
PROD26225SA,Household & Cleaning,Cleaning Supplies,Dishwashing Liquid,Each
PROD234053SA,Fresh Food,Fruits & Vegetables,Butternut Squash,kg
PROD709570SA,Household & Cleaning,Cleaning Supplies,Dishwashing Liquid,Each
PROD619176SA,Grocery Essentials,Snacks & Confectionery,Dark Chocolate Bar,ml
PROD98246SA,Fresh Food,Bakery,Sourdough Loaf,kg
PROD631262SA,Fresh Food,Dairy & Eggs,Amasi,g
PROD750800SA,Grocery Essentials,Snacks & Confectionery,Rice Cakes,Each
PROD439898SA,Household & Cleaning,Cleaning Supplies,Surface Wipes,kg
PROD291704SA,Fresh Food,Meat & Poultry,Droëwors,g
PROD356778SA,Fresh Food,Dairy & Eggs,Gouda Slices,L
PROD800581SA,Fresh Food,Dairy & Eggs,Cheddar Cheese,L
PROD398382SA,Fresh Food,Bakery,Whole Wheat Bread,g
PROD633052SA,Fresh Food,Fruits & Vegetables,Red Onions,L
PROD562275SA,Fresh Food,Bakery,Flatbread,g
PROD578856SA,Fresh Food,Meat & Poultry,Beef Mince,L
PROD928463SA,Household & Cleaning,Cleaning Supplies,Bin Liners,L
PROD738797SA,Grocery Essentials,Snacks & Confectionery,Rice Cakes,g
PROD810620SA,Fresh Food,Bakery,Baguette,L
PROD908573SA,Fresh Food,Bakery,Baguette,g
PROD475435SA,Fresh Food,Meat & Poultry,Boerewors Roll,Each
PROD388162SA,Fresh Food,Fruits & Vegetables,Tomatoes on Vine,L
PROD735911SA,Fresh Food,Dairy & Eggs,Butter Block,Each
PROD638720SA,Household & Cleaning,Cleaning Supplies,Dishwashing Liquid,Each
PROD764544SA,Fresh Food,Dairy & Eggs,Amasi,kg
PROD397887SA,Fresh Food,Dairy & Eggs,Cream Cheese Tub,L
PROD230283SA,Household & Cleaning,Cleaning Supplies,Surface Wipes,Each
PROD240174SA,Fresh Food,Fruits & Vegetables,Banana Bunch,g
PROD280746SA,Fresh Food,Fruits & Vegetables,Mixed Peppers,g
PROD918938SA,Fresh Food,Dairy & Eggs,Maas,Each
PROD687277SA,Fresh Food,Fruits & Vegetables,Butternut Squash,ml
PROD149811SA,Fresh Food,Meat & Poultry,Stewing Beef,L
PROD781177SA,Fresh Food,Dairy & Eggs,Cheddar Cheese,Pack
PROD783300SA,Grocery Essentials,Snacks & Confectionery,Peanut Butter Pretzels,Pack
PROD418801SA,Fresh Food,Meat & Poultry,Droëwors,L
PROD534277SA,Fresh Food,Dairy & Eggs,Greek Yoghurt,ml
PROD902931SA,Fresh Food,Bakery,Sourdough Loaf,g
PROD830555SA,Fresh Food,Dairy & Eggs,Greek Yoghurt,Each
PROD66613SA,Fresh Food,Meat & Poultry,Droëwors,ml
PROD490785SA,Fresh Food,Meat & Poultry,Droëwors,Pack
PROD902592SA,Fresh Food,Fruits & Vegetables,Gem Squash,g
PROD714825SA,Household & Cleaning,Cleaning Supplies,Dishwashing Liquid,Pack
PROD116970SA,Fresh Food,Fruits & Vegetables,Red Onions,L
PROD475763SA,Fresh Food,Meat & Poultry,Lamb Chops,g
PROD524902SA,Household & Cleaning,Cleaning Supplies,Glass Cleaner Spray,kg
PROD912804SA,Grocery Essentials,Snacks & Confectionery,Dark Chocolate Bar,Each
PROD638551SA,Fresh Food,Fruits & Vegetables,Gem Squash,kg
