date,customer_code,product_code,sold_quantity
2026-01-28,CUST804092SA,PROD959715SA,7
2026-01-10,CUST377017SA,PROD653534SA,20
2026-02-05,CUST714138SA,PROD524902SA,22
2026-01-17,CUST61437SA,PROD444154SA,22
2026-01-07,CUST713341SA,PROD617024SA,23
2026-02-01,CUST314353SA,PROD929181SA,6
2026-01-25,CUST729884SA,PROD214181SA,23
2026-02-01,CUST17007SA,PROD829090SA,23
2026-01-06,CUST66165SA,PROD968790SA,12
2026-01-28,CUST391329SA,PROD337960SA,19
2026-01-28,CUST171790SA,PROD63556SA,22
2026-02-04,CUST309898SA,PROD496564SA,22
2026-02-06,CUST77077SA,PROD704318SA,27
2026-01-27,CUST788870SA,PROD556968SA,29
2026-02-11,CUST834328SA,PROD829090SA,26
2026-01-01,CUST373023SA,PROD623939SA,4
2026-01-02,CUST9738SA,PROD52578SA,5
2026-01-03,CUST703281SA,PROD220392SA,2
2026-01-10,CUST662423SA,PROD704318SA,25
2026-02-08,CUST467122SA,PROD368900SA,10
2026-02-03,CUST810143SA,PROD280746SA,5
2026-02-11,CUST395489SA,PROD98246SA,23
2026-02-08,CUST620970SA,PROD706073SA,7
2026-02-06,CUST205837SA,PROD496564SA,2
2026-01-18,CUST149792SA,PROD722858SA,15
2026-01-06,CUST271393SA,PROD63156SA,28
2026-02-03,CUST34500SA,PROD957860SA,18
2026-02-12,CUST615519SA,PROD645830SA,24
2026-02-01,CUST827043SA,PROD321080SA,13
2026-01-12,CUST206647SA,PROD52578SA,26
2026-02-09,CUST758889SA,PROD923634SA,23
2026-01-15,CUST52179SA,PROD499380SA,22
2026-01-03,CUST51021SA,PROD463638SA,13
2026-01-19,CUST463516SA,PROD754717SA,26
2026-02-17,CUST53642SA,PROD544173SA,11
2026-02-17,CUST353487SA,PROD964047SA,2
2026-01-01,CUST615388SA,PROD200845SA,9
2026-01-10,CUST463873SA,PROD870127SA,28
2026-02-08,CUST30354SA,PROD316282SA,28
2026-01-22,CUST328399SA,PROD853085SA,8
2026-02-14,CUST778586SA,PROD459381SA,23
2026-02-04,CUST918371SA,PROD259947SA,12
2026-02-07,CUST776880SA,PROD155539SA,18
2026-02-06,CUST656596SA,PROD908959SA,7
2026-02-08,CUST799281SA,PROD278258SA,7
2026-01-15,CUST184229SA,PROD499380SA,6
2026-02-18,CUST429161SA,PROD831450SA,3
2026-01-10,CUST953582SA,PROD3717SA,6
2026-02-06,CUST332061SA,PROD803035SA,4
2026-01-19,CUST618372SA,PROD723846SA,14
2026-01-14,CUST156911SA,PROD209267SA,9
2026-01-07,CUST377017SA,PROD738797SA,19
2026-02-11,CUST209505SA,PROD763934SA,1
2026-01-17,CUST399669SA,PROD912804SA,23
2026-02-15,CUST378666SA,PROD617024SA,2
2026-01-08,CUST738862SA,PROD970733SA,11
2026-01-30,CUST797615SA,PROD672875SA,25
2026-02-15,CUST847312SA,PROD843298SA,20
2026-02-11,CUST496520SA,PROD680776SA,10
2026-01-25,CUST260322SA,PROD834816SA,19
2026-01-27,CUST196494SA,PROD63918SA,3
2026-02-08,CUST90581SA,PROD839482SA,11
2026-01-26,CUST435810SA,PROD932931SA,6
2026-01-26,CUST160295SA,PROD744261SA,26
2026-01-25,CUST496520SA,PROD240044SA,14
2026-01-27,CUST914663SA,PROD477463SA,13
2026-01-05,CUST450513SA,PROD964047SA,8
2026-02-13,CUST142007SA,PROD26240SA,22
2026-01-17,CUST701765SA,PROD686508SA,12
2026-01-15,CUST918371SA,PROD199312SA,25
2026-01-31,CUST43631SA,PROD953813SA,16
2026-02-18,CUST395019SA,PROD706073SA,27
2026-02-06,CUST824758SA,PROD741666SA,21
2026-01-01,CUST160295SA,PROD699287SA,22
2026-01-17,CUST988052SA,PROD224643SA,8
2026-02-14,CUST249556SA,PROD101639SA,20
2026-02-15,CUST724042SA,PROD261941SA,8
2026-02-16,CUST77289SA,PROD642412SA,22
2026-02-13,CUST115233SA,PROD499380SA,13
2026-02-14,CUST603656SA,PROD606794SA,4
2026-01-19,CUST703281SA,PROD199448SA,18
2026-02-05,CUST931895SA,PROD834816SA,1
2026-02-14,CUST702371SA,PROD465230SA,27
