product_code ,price_zar ,currency ,year
SKU-215862   ,    13.83 ,ZAR      ,2024
SKU-215862   ,    14.66 ,ZAR      ,2025
SKU-868182   ,   150.11 ,ZAR      ,2024
SKU-868182   ,   159.12 ,ZAR      ,2025
SKU-748310   ,    94.45 ,ZAR      ,2024
SKU-748310   ,   100.12 ,ZAR      ,2025
SKU-726792   ,    23.09 ,ZAR      ,2024
SKU-726792   ,    24.47 ,ZAR      ,2025
SKU-685641   ,    32.04 ,ZAR      ,2024
SKU-685641   ,    33.96 ,ZAR      ,2025
SKU-627392   ,    83.56 ,ZAR      ,2024
SKU-627392   ,    88.57 ,ZAR      ,2025
SKU-479889   ,    37.63 ,ZAR      ,2024
SKU-479889   ,    39.89 ,ZAR      ,2025
SKU-696561   ,    17.85 ,ZAR      ,2024
SKU-696561   ,    18.92 ,ZAR      ,2025
SKU-464130   ,    78.2  ,ZAR      ,2024
SKU-464130   ,    82.9  ,ZAR      ,2025
SKU-645517   ,    42.33 ,ZAR      ,2024
SKU-645517   ,    44.87 ,ZAR      ,2025
SKU-306381   ,    59.73 ,ZAR      ,2024
SKU-306381   ,    63.31 ,ZAR      ,2025
SKU-238996   ,    41.35 ,ZAR      ,2024
SKU-238996   ,    43.83 ,ZAR      ,2025
SKU-276209   ,    15.74 ,ZAR      ,2024
SKU-276209   ,    16.69 ,ZAR      ,2025
SKU-587354   ,    22.63 ,ZAR      ,2024
SKU-587354   ,    23.99 ,ZAR      ,2025
SKU-505633   ,     5.74 ,ZAR      ,2024
SKU-505633   ,     6.08 ,ZAR      ,2025
SKU-422572   ,    21.03 ,ZAR      ,2024
SKU-422572   ,    22.29 ,ZAR      ,2025
SKU-646723   ,    29.39 ,ZAR      ,2024
SKU-646723   ,    31.15 ,ZAR      ,2025
SKU-117497   ,    21.08 ,ZAR      ,2024
SKU-117497   ,    22.34 ,ZAR      ,2025
SKU-832683   ,    25.06 ,ZAR      ,2024
SKU-832683   ,    26.57 ,ZAR      ,2025
SKU-497340   ,    10.21 ,ZAR      ,2024
SKU-497340   ,    10.83 ,ZAR      ,2025
SKU-38974    ,    86.85 ,ZAR      ,2024
SKU-38974    ,    92.06 ,ZAR      ,2025
SKU-893179   ,    40.79 ,ZAR      ,2024
SKU-893179   ,    43.24 ,ZAR      ,2025
SKU-395889   ,    38.82 ,ZAR      ,2024
SKU-395889   ,    41.15 ,ZAR      ,2025
SKU-137951   ,   116.16 ,ZAR      ,2024
SKU-137951   ,   123.13 ,ZAR      ,2025
SKU-163729   ,    33.32 ,ZAR      ,2024
SKU-163729   ,    35.32 ,ZAR      ,2025
SKU-540356   ,    37.91 ,ZAR      ,2024
SKU-540356   ,    40.19 ,ZAR      ,2025
SKU-162119   ,    38.36 ,ZAR      ,2024
SKU-162119   ,    40.67 ,ZAR      ,2025
SKU-3276     ,    15.66 ,ZAR      ,2024
SKU-3276     ,    16.6  ,ZAR      ,2025
SKU-460728   ,     5.51 ,ZAR      ,2024
SKU-460728   ,     5.84 ,ZAR      ,2025
SKU-857678   ,    12.96 ,ZAR      ,2024
SKU-857678   ,    13.74 ,ZAR      ,2025
SKU-162717   ,    22.32 ,ZAR      ,2024
SKU-162717   ,    23.66 ,ZAR      ,2025
SKU-727294   ,    22.03 ,ZAR      ,2024
SKU-727294   ,    23.36 ,ZAR      ,2025
SKU-825990   ,    85.48 ,ZAR      ,2024
SKU-825990   ,    90.61 ,ZAR      ,2025
SKU-32001    ,     6.34 ,ZAR      ,2024
SKU-32001    ,     6.72 ,ZAR      ,2025
SKU-658162   ,    16.06 ,ZAR      ,2024
SKU-658162   ,    17.02 ,ZAR      ,2025
SKU-932200   ,   126.9  ,ZAR      ,2024
SKU-932200   ,   134.51 ,ZAR      ,2025
SKU-93978    ,    21.86 ,ZAR      ,2024
SKU-93978    ,    23.18 ,ZAR      ,2025
SKU-941245   ,     5.16 ,ZAR      ,2024
SKU-941245   ,     5.47 ,ZAR      ,2025
SKU-309598   ,   218.63 ,ZAR      ,2024
SKU-309598   ,   231.75 ,ZAR      ,2025
SKU-295405   ,   127.33 ,ZAR      ,2024
SKU-295405   ,   134.97 ,ZAR      ,2025
SKU-90210    ,    27.43 ,ZAR      ,2024
SKU-90210    ,    29.08 ,ZAR      ,2025
SKU-395825   ,    25.13 ,ZAR      ,2024
SKU-395825   ,    26.63 ,ZAR      ,2025
SKU-111900   ,     7.79 ,ZAR      ,2024
SKU-111900   ,     8.26 ,ZAR      ,2025
SKU-406419   ,    39.66 ,ZAR      ,2024
SKU-406419   ,    42.04 ,ZAR      ,2025
SKU-775467   ,    21.79 ,ZAR      ,2024
SKU-775467   ,    23.09 ,ZAR      ,2025
SKU-804143   ,     8.89 ,ZAR      ,2024
SKU-804143   ,     9.42 ,ZAR      ,2025
SKU-665745   ,    27.44 ,ZAR      ,2024
SKU-665745   ,    29.09 ,ZAR      ,2025
SKU-816415   ,    73.64 ,ZAR      ,2024
SKU-816415   ,    78.06 ,ZAR      ,2025
SKU-487650   ,     9.58 ,ZAR      ,2024
SKU-487650   ,    10.16 ,ZAR      ,2025
SKU-234135   ,     9.95 ,ZAR      ,2024
SKU-234135   ,    10.54 ,ZAR      ,2025
SKU-867817   ,    34.52 ,ZAR      ,2024
SKU-867817   ,    36.6  ,ZAR      ,2025
SKU-462508   ,   157.65 ,ZAR      ,2024
SKU-462508   ,   167.11 ,ZAR      ,2025
SKU-668937   ,   182.84 ,ZAR      ,2024
SKU-668937   ,   193.81 ,ZAR      ,2025
SKU-684732   ,    45.81 ,ZAR      ,2024
SKU-684732   ,    48.56 ,ZAR      ,2025
SKU-742905   ,    98.61 ,ZAR      ,2024
SKU-742905   ,   104.53 ,ZAR      ,2025
SKU-887073   ,    23.01 ,ZAR      ,2024
SKU-887073   ,    24.39 ,ZAR      ,2025
SKU-769804   ,   193.45 ,ZAR      ,2024
SKU-769804   ,   205.06 ,ZAR      ,2025
SKU-129156   ,    42.61 ,ZAR      ,2024
SKU-129156   ,    45.16 ,ZAR      ,2025
SKU-532245   ,    26.43 ,ZAR      ,2024
SKU-532245   ,    28.01 ,ZAR      ,2025
SKU-49250    ,    15.98 ,ZAR      ,2024
SKU-49250    ,    16.94 ,ZAR      ,2025
SKU-799263   ,    24.22 ,ZAR      ,2024
SKU-799263   ,    25.67 ,ZAR      ,2025
SKU-353030   ,    88.5  ,ZAR      ,2024
