product_code,product,division,category,brand,variant
SKU-385135,Full Cream Milk Ladismith,Fresh Food,Dairy & Eggs,Ladismith,Each
SKU-551658,Hot Dog Rolls (6pk) Albany,Fresh Food,Bakery,Albany,Pack
SKU-823064,Low Fat Milk Danone,Fresh Food,Dairy & Eggs,Danone,g
SKU-283842,Hot Dog Rolls (6pk) Sasko,Fresh Food,Bakery,Sasko,g
SKU-780876,Pork Chops Country Fair,Fresh Food,Meat & Poultry,Country Fair,g
SKU-629405,White Bread Sunbake,Fresh Food,Bakery,Sunbake,g
SKU-549696,Large Eggs (18) Danone,Fresh Food,Dairy & Eggs,Danone,ml
SKU-587562,100% Fruit Juice Liqui Fruit,Beverages,Drinks & Beverages,Liqui Fruit,Pack
SKU-584763,Cheddar Cheese Ladismith,Fresh Food,Dairy & Eggs,Ladismith,Each
SKU-515467,White Bread Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,Each
SKU-562995,Tomatoes Freshmark,Fresh Food,Produce,Freshmark,g
SKU-326456,Low Fat Milk Ladismith,Fresh Food,Dairy & Eggs,Ladismith,L
SKU-912186,Chocolate Slab Simba,Grocery Essentials,Snacks & Confectionery,Simba,Each
SKU-277765,Cheddar Cheese Crystal Valley,Fresh Food,Dairy & Eggs,Crystal Valley,L
SKU-527037,White Bread Albany,Fresh Food,Bakery,Albany,Pack
SKU-108611,Cola Coca-Cola,Beverages,Drinks & Beverages,Coca-Cola,L
SKU-200628,Brown Bread Sasko,Fresh Food,Bakery,Sasko,Pack
SKU-422149,100% Fruit Juice Coca-Cola,Beverages,Drinks & Beverages,Coca-Cola,ml
SKU-541770,Low Fat Milk Clover,Fresh Food,Dairy & Eggs,Clover,ml
SKU-406674,White Bread Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,Each
SKU-101384,Chicken Portions Rainbow Chicken,Fresh Food,Meat & Poultry,Rainbow Chicken,kg
SKU-513472,Floor Cleaner Sunlight,Household,Cleaning Supplies,Sunlight,Pack
SKU-367794,Margarine Danone,Fresh Food,Dairy & Eggs,Danone,L
SKU-522020,Cheddar Cheese Crystal Valley,Fresh Food,Dairy & Eggs,Crystal Valley,g
SKU-655792,Full Cream Milk Clover,Fresh Food,Dairy & Eggs,Clover,ml
SKU-211184,Dishwashing Liquid Handy Andy,Household,Cleaning Supplies,Handy Andy,L
SKU-489142,Seeded Brown Bread Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,Pack
SKU-183315,100% Fruit Juice Oros,Beverages,Drinks & Beverages,Oros,Pack
SKU-214946,Bananas Nature's Choice,Fresh Food,Produce,Nature's Choice,Each
SKU-579175,Hot Dog Rolls (6pk) Albany,Fresh Food,Bakery,Albany,Pack
SKU-731440,Cheese Snacks Doritos,Grocery Essentials,Snacks & Confectionery,Doritos,g
SKU-366190,White Bread Sunbake,Fresh Food,Bakery,Sunbake,Pack
SKU-568584,Orange Squash Cappy,Beverages,Drinks & Beverages,Cappy,Pack
SKU-842257,Pork Chops Rainbow Chicken,Fresh Food,Meat & Poultry,Rainbow Chicken,g
SKU-428792,Boerewors Rainbow Chicken,Fresh Food,Meat & Poultry,Rainbow Chicken,kg
SKU-472720,Orange Squash Coca-Cola,Beverages,Drinks & Beverages,Coca-Cola,L
SKU-133652,Salted Chips Cadbury,Grocery Essentials,Snacks & Confectionery,Cadbury,g
SKU-873353,Potatoes ZZ2,Fresh Food,Produce,ZZ2,kg
SKU-750577,Apples Freshmark,Fresh Food,Produce,Freshmark,kg
SKU-696099,Cola Cappy,Beverages,Drinks & Beverages,Cappy,L
SKU-142916,100% Fruit Juice Liqui Fruit,Beverages,Drinks & Beverages,Liqui Fruit,L
SKU-279236,Flavoured Drink Liqui Fruit,Beverages,Drinks & Beverages,Liqui Fruit,Pack
SKU-676539,Flavoured Drink Liqui Fruit,Beverages,Drinks & Beverages,Liqui Fruit,ml
SKU-297504,Cola Oros,Beverages,Drinks & Beverages,Oros,L
SKU-263942,100% Fruit Juice Oros,Beverages,Drinks & Beverages,Oros,L
SKU-529989,Plain Yoghurt Crystal Valley,Fresh Food,Dairy & Eggs,Crystal Valley,g
SKU-801331,Bananas Nature's Choice,Fresh Food,Produce,Nature's Choice,kg
SKU-805266,Full Cream Milk Crystal Valley,Fresh Food,Dairy & Eggs,Crystal Valley,g
SKU-740530,Washing Powder Omo,Household,Cleaning Supplies,Omo,Pack
SKU-820011,Flavoured Drink Oros,Beverages,Drinks & Beverages,Oros,Pack
SKU-824504,Pork Chops Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,g
SKU-278356,Margarine Parmalat,Fresh Food,Dairy & Eggs,Parmalat,g
SKU-719505,Floor Cleaner Omo,Household,Cleaning Supplies,Omo,Pack
SKU-734633,Hot Dog Rolls (6pk) Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,Pack
SKU-754301,Potatoes Nature's Choice,Fresh Food,Produce,Nature's Choice,kg
SKU-699298,Chicken Portions Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,g
SKU-376006,Potato Chips Cadbury,Grocery Essentials,Snacks & Confectionery,Cadbury,Each
SKU-298850,Cheese Snacks Lays,Grocery Essentials,Snacks & Confectionery,Lays,Pack
SKU-909770,Boerewors Rainbow Chicken,Fresh Food,Meat & Poultry,Rainbow Chicken,kg
SKU-301408,Margarine Crystal Valley,Fresh Food,Dairy & Eggs,Crystal Valley,L
SKU-901894,Floor Cleaner Handy Andy,Household,Cleaning Supplies,Handy Andy,L
SKU-912744,Cheddar Cheese Clover,Fresh Food,Dairy & Eggs,Clover,g
SKU-778324,Chips Cadbury,Grocery Essentials,Snacks & Confectionery,Cadbury,Each
SKU-224055,Seeded Brown Bread Sunbake,Fresh Food,Bakery,Sunbake,g
SKU-407011,Hot Dog Rolls (6pk) Sunbake,Fresh Food,Bakery,Sunbake,Pack
SKU-490543,Seeded Brown Bread Albany,Fresh Food,Bakery,Albany,g
SKU-440849,Chicken Portions Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,kg
SKU-885121,Cheddar Cheese Danone,Fresh Food,Dairy & Eggs,Danone,L
SKU-709026,Orange Squash Oros,Beverages,Drinks & Beverages,Oros,Pack
SKU-905685,Pork Chops Karan Beef,Fresh Food,Meat & Poultry,Karan Beef,g
SKU-119440,Cheese Snacks Doritos,Grocery Essentials,Snacks & Confectionery,Doritos,g
SKU-800272,Cheddar Cheese Ladismith,Fresh Food,Dairy & Eggs,Ladismith,ml
SKU-119278,Boerewors Country Fair,Fresh Food,Meat & Poultry,Country Fair,g
SKU-164244,Chocolate Slab Beacon,Grocery Essentials,Snacks & Confectionery,Beacon,g
SKU-249481,Onions ZZ2,Fresh Food,Produce,ZZ2,Each
SKU-296058,Potatoes Nature's Choice,Fresh Food,Produce,Nature's Choice,g
SKU-442998,Large Eggs (18) Nulaid,Fresh Food,Dairy & Eggs,Nulaid,L
SKU-648094,Flavoured Drink Oros,Beverages,Drinks & Beverages,Oros,ml
SKU-344214,Brown Bread Blue Ribbon,Fresh Food,Bakery,Blue Ribbon,g
SKU-110792,Seeded Brown Bread Albany,Fresh Food,Bakery,Albany,g
SKU-292547,Cola Liqui Fruit,Beverages,Drinks & Beverages,Liqui Fruit,Pack
SKU-346489,Potato Chips Doritos,Grocery Essentials,Snacks & Confectionery,Doritos,Pack
SKU-690774,Brown Bread Sasko,Fresh Food,Bakery,Sasko,Pack
SKU-867546,Chips Simba,Grocery Essentials,Snacks & Confectionery,Simba,Pack
SKU-740406,Washing Powder Handy Andy,Household,Cleaning Supplies,Handy Andy,Pack
SKU-233434,Tomatoes ZZ2,Fresh Food,Produce,ZZ2,g
