order_date,customer_code,product_code,sold_quantity,gross_amount
2025-12-16,CUST-682747,SKU-551658,274,4953.92
2024-08-31,CUST-518158,SKU-975615,922,94919.9
2025-09-06,CUST-977898,SKU-954150,211,9986.63
2024-10-09,CUST-300751,SKU-467455,335,22960.9
2024-08-02,CUST-816130,SKU-538714,913,90743.07
2025-12-19,CUST-648079,SKU-928541,55,1040.05
2025-04-26,CUST-870409,SKU-178642,711,17433.72
2025-11-23,CUST-114545,SKU-889023,890,21030.7
2025-03-14,CUST-222662,SKU-429776,621,20014.83
2025-10-31,CUST-470870,SKU-963959,416,9405.76
2025-06-05,CUST-977898,SKU-496620,570,13491.9
2025-06-02,CUST-732792,SKU-984733,498,26423.88
2024-10-01,CUST-253521,SKU-739314,173,2110.6
2024-06-24,CUST-201908,SKU-293545,510,20547.9
2024-06-22,CUST-210939,SKU-103774,695,8423.4
2024-11-12,CUST-649686,SKU-116083,893,30183.4
2024-06-20,CUST-782824,SKU-580231,37,1629.85
2024-04-14,CUST-185190,SKU-867546,473,15590.08
2025-10-07,CUST-503641,SKU-538714,413,43513.68
2025-04-08,CUST-421904,SKU-185585,169,8556.47
2024-07-23,CUST-200534,SKU-892751,953,28342.22
2025-12-22,CUST-503641,SKU-652512,200,4218.0
2025-08-15,CUST-629112,SKU-604699,602,3539.76
2025-02-05,CUST-849242,SKU-298850,556,18815.04
2025-09-19,CUST-649686,SKU-529989,118,6192.64
2024-04-18,CUST-856695,SKU-624817,170,2601.0
2024-09-28,CUST-135524,SKU-636574,408,8584.32
2025-11-19,CUST-493052,SKU-843736,29,1105.77
2025-05-18,CUST-849280,SKU-531792,680,49164.0
2024-06-29,CUST-449359,SKU-959975,35,383.6
2025-05-07,CUST-555494,SKU-121370,617,22440.29
2025-02-26,CUST-870409,SKU-639418,780,135142.8
2024-11-24,CUST-992478,SKU-798013,302,2736.12
2025-09-21,CUST-960058,SKU-482332,693,3437.28
2025-09-05,CUST-482908,SKU-705631,297,7570.53
2024-11-21,CUST-290914,SKU-113582,373,16244.15
2024-12-06,CUST-511720,SKU-751969,430,15484.3
2024-11-05,CUST-337994,SKU-525415,159,3110.04
2024-02-05,CUST-856695,SKU-641961,906,15664.74
2024-04-03,CUST-867794,SKU-544119,660,21225.6
2025-12-23,CUST-649686,SKU-549484,437,32687.6
2024-08-28,CUST-342534,SKU-569111,990,44569.8
2024-11-29,CUST-944550,SKU-811105,630,35179.2
2024-05-15,CUST-504707,SKU-296058,607,3860.52
2024-07-11,CUST-331080,SKU-477707,213,4377.15
2025-05-31,CUST-343717,SKU-780876,864,48893.76
2025-01-24,CUST-329701,SKU-377214,79,1930.76
2024-06-03,CUST-597957,SKU-657810,860,19943.4
2024-11-10,CUST-882820,SKU-597727,302,23359.7
2024-12-03,CUST-614635,SKU-912186,668,11583.12
2025-01-05,CUST-152430,SKU-135086,695,8423.4
2024-07-05,CUST-928873,SKU-513472,184,4631.28
2025-06-07,CUST-445919,SKU-704798,32,895.36
2025-06-09,CUST-518158,SKU-613232,628,20761.68
2024-09-25,CUST-201908,SKU-766669,137,1857.72
2024-10-14,CUST-556781,SKU-574452,641,8012.5
2024-10-01,CUST-775246,SKU-675664,187,4833.95
2024-02-06,CUST-562216,SKU-709626,790,30699.4
2024-05-10,CUST-527451,SKU-109353,722,55399.06
2024-10-23,CUST-212872,SKU-824671,589,8222.44
2024-05-27,CUST-465475,SKU-351291,842,54359.52
2024-08-25,CUST-225893,SKU-709026,42,1554.42
2025-04-05,CUST-978371,SKU-966676,565,23809.1
2025-03-20,CUST-281848,SKU-263520,680,25588.4
2024-06-02,CUST-885127,SKU-716078,989,140655.58
2024-04-01,CUST-135524,SKU-484408,915,14292.3
2024-12-05,CUST-746459,SKU-786231,467,4081.58
2024-05-04,CUST-673084,SKU-647768,792,55717.2
2024-02-17,CUST-762014,SKU-351454,782,53371.5
2024-02-19,CUST-733299,SKU-720067,255,4536.45
2024-11-25,CUST-282481,SKU-359787,188,4919.96
2024-08-12,CUST-822914,SKU-706984,353,14511.83
2024-09-23,CUST-733299,SKU-710829,993,17804.49
2024-07-26,CUST-167081,SKU-889210,151,3246.5
2025-12-15,CUST-374157,SKU-954671,25,1962.25
2024-09-04,CUST-349540,SKU-518902,949,17281.29
2024-08-21,CUST-349540,SKU-829827,731,12565.89
2025-03-14,CUST-733299,SKU-420688,615,44359.95
2025-04-29,CUST-449359,SKU-709399,677,7169.43
2025-07-04,CUST-707168,SKU-313430,863,13057.19
2024-10-01,CUST-542164,SKU-801567,284,3939.08
2025-07-06,CUST-135524,SKU-575626,261,6290.1
2025-05-08,CUST-518158,SKU-463079,14,95.9
2024-09-03,CUST-629112,SKU-466550,781,39284.3
2025-12-18,CUST-929229,SKU-984733,717,38044.02
2025-01-06,CUST-514975,SKU-128000,444,28233.96
2025-08-27,CUST-875069,SKU-125267,511,12371.31
2025-03-16,CUST-505863,SKU-302529,863,31611.69
2024-07-17,CUST-849242,SKU-249872,10,1763.2
2024-04-11,CUST-744591,SKU-780876,642,34276.38
2024-06-01,CUST-885127,SKU-466413,272,4950.4
2024-04-27,CUST-290319,SKU-541263,600,8892.0
2025-12-28,CUST-103165,SKU-890973,608,3958.08
2025-12-22,CUST-614635,SKU-319131,220,8245.6
2024-10-04,CUST-849242,SKU-840389,492,10051.56
