product_sku,store_code,gross_price,currency,price_type,valid_from,valid_to,source_system,load_timestamp,batch_id
SKU-171991,USV,30.37,ZAR,Promo,2024-04-11 01:24:24,2024-04-18 01:24:24,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-171991,C60,32.19,ZAR,Promo,2025-05-12 15:06:41,2025-05-19 15:06:41,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-467710,C60,23.73,ZAR,Regular,2024-11-18 18:38:18,2024-12-18 18:38:18,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-467710,C60,25.15,ZAR,Regular,2025-03-27 09:16:50,2025-04-27 09:16:50,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-321389,USV,32.67,ZAR,Regular,2024-05-05 17:28:44,2024-06-05 17:28:44,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-321389,USV,34.63,ZAR,Regular,2025-11-16 23:09:01,2025-12-16 23:09:01,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-994501,C60,15.99,ZAR,Regular,2024-12-19 02:06:23,2025-01-19 02:06:23,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-994501,USV,16.95,ZAR,Promo,2025-12-01 15:11:14,2025-12-08 15:11:14,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-897009,C60,32.4,ZAR,Promo,2024-06-20 12:28:21,2024-06-27 12:28:21,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-897009,CHK,34.34,ZAR,Promo,2025-07-22 08:55:31,2025-07-29 08:55:31,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-151111,SHOP,26.6,ZAR,Regular,2024-04-06 15:38:11,2024-05-06 15:38:11,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-151111,C60,28.2,ZAR,Promo,2025-12-09 18:56:00,2025-12-16 18:56:00,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-645405,C60,51.69,ZAR,Promo,2024-11-26 05:35:46,2024-12-03 05:35:46,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-645405,C60,54.79,ZAR,Promo,2025-03-16 21:56:44,2025-03-23 21:56:44,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-222998,SHOP,73.39,ZAR,Regular,2024-03-09 03:46:03,2024-04-09 03:46:03,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
SKU-222998,C60,77.79,ZAR,Promo,2025-04-07 11:26:44,2025-04-14 11:26:44,Shoprite X,2026-02-24 04:09:53,BATCH-20260224-01
