order_id,order_date,order_timestamp,customer_code,product_sku,store_code,channel,quantity,gross_sales_amount,discount_amount,net_sales_amount,payment_method,currency,price_type,valid_from,valid_to,source_system,load_timestamp,batch_id
ORD-426782,2024-03-18,2024-03-18 04:29:27,CUST-461304,SKU-701291,CHK,In-Store,886,87767.16,2633.01,85134.15,Card,ZAR,Promo,2024-10-20 18:00:30,2024-10-27 18:00:30,POS,2026-03-02 18:23:04,BATCH-20260302-01
ORD-747996,2024-03-18,2024-03-18 17:08:28,CUST-462117,SKU-157013,USV,In-Store,522,7683.84,230.52,7453.32,Voucher,ZAR,Promo,2024-11-07 13:24:55,2024-11-14 13:24:55,POS,2026-03-02 18:23:04,BATCH-20260302-01
ORD-790565,2024-03-18,2024-03-18 06:34:03,CUST-361195,SKU-109597,CHK,Online,51,2522.97,75.69,2447.28,Mobile Wallet,ZAR,Regular,2025-08-13 13:40:44,2025-09-13 13:40:44,POS,2026-03-02 18:23:04,BATCH-20260302-01
ORD-201804,2024-03-18,2024-03-18 01:08:34,CUST-361840,SKU-465984,C60,Online,249,9628.83,288.86,9339.97,Cash,ZAR,Promo,2025-09-04 18:19:43,2025-09-11 18:19:43,POS,2026-03-02 18:23:04,BATCH-20260302-01
ORD-810816,2024-03-18,2024-03-18 13:33:27,CUST-231162,SKU-192439,CHK,In-Store,739,67803.25,2034.1,65769.15,Card,ZAR,Promo,2025-04-13 07:56:03,2025-04-20 07:56:03,OnlinePlatform,2026-03-02 18:23:04,BATCH-20260302-01
ORD-402962,2024-03-18,2024-03-18 15:25:45,CUST-637843,SKU-348229,CHK,Online,426,9746.88,292.41,9454.47,Cash,ZAR,Regular,2024-01-25 22:55:33,2024-02-25 22:55:33,POS,2026-03-02 18:23:04,BATCH-20260302-01
ORD-556745,2024-03-18,2024-03-18 18:45:36,CUST-918330,SKU-161324,C60,Online,621,69719.67,2091.59,67628.08,Cash,ZAR,Regular,2024-07-16 06:30:54,2024-08-16 06:30:54,OnlinePlatform,2026-03-02 18:23:04,BATCH-20260302-01
ORD-409977,2024-03-18,2024-03-18 06:39:42,CUST-532701,SKU-540729,SHOP,In-Store,130,3833.7,115.01,3718.69,Card,ZAR,Regular,2025-03-13 13:27:23,2025-04-13 13:27:23,OnlinePlatform,2026-03-02 18:23:04,BATCH-20260302-01
ORD-564541,2024-03-18,2024-03-18 20:51:38,CUST-736298,SKU-321069,CHK,In-Store,551,9036.4,271.09,8765.31,Cash,ZAR,Promo,2025-08-19 01:51:21,2025-08-26 01:51:21,POS,2026-03-02 18:23:04,BATCH-20260302-01
ORD-954771,2024-03-18,2024-03-18 09:18:21,CUST-372365,SKU-947831,C60,In-Store,580,19157.4,574.72,18582.68,EFT,ZAR,Promo,2024-10-24 20:45:52,2024-10-31 20:45:52,OnlinePlatform,2026-03-02 18:23:04,BATCH-20260302-01
