product_sku,product_name,brand,division,category,pack_size,variant,standard_cost,supplier_name,source_system,load_timestamp,batch_id
SKU-171991,Freshmark Potatoes,Freshmark,Fresh Food,Produce,2,,30.38,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-467710,Coca-Cola Coca-Cola Original,Coca-Cola,Beverages,Drinks & Beverages,2,,23.74,Coca-Cola Beverages SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-321389,Handy Andy Ammonia Floor Cleaner,Handy Andy,Household,Cleaning Supplies,750,,32.68,Unilever,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-994501,Sasko Premium White Bread,Sasko,Fresh Food,Bakery,1,,16.0,Pioneer Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-897009,Clover Full Cream Milk,Clover,Fresh Food,Dairy & Eggs,2,,32.41,Clover SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-151111,Cadbury Dairy Milk Chocolate Slab,Cadbury,Grocery Essentials,Snacks & Confectionery,150,,26.61,Mondelez,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-645405,Nulaid Large Eggs,Nulaid,Fresh Food,Dairy & Eggs,18,,51.7,Quantum Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-222998,Rainbow Chicken Fresh Whole Chicken,Rainbow Chicken,Fresh Food,Meat & Poultry,1.5,,73.4,RCL Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-948580,Steakhouse Classic Beef T-Bone Steak,Steakhouse Classic,Fresh Food,Meat & Poultry,1,,117.85,Shoprite House Brand,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-854835,Clover Low Fat Milk,Clover,Fresh Food,Dairy & Eggs,2,,34.09,Clover SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-743575,Ladismith Cheddar Cheese,Ladismith,Fresh Food,Dairy & Eggs,400,,54.11,Woodlands Dairy,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-863971,Rainbow Chicken Chicken Mixed Portions (IQF),Rainbow Chicken,Fresh Food,Meat & Poultry,2,,103.51,RCL Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-888950,Simba Smoked Beef Chips,Simba,Grocery Essentials,Snacks & Confectionery,120,,17.9,PepsiCo,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-737999,Championship Boerewors Thick Boerewors,Championship Boerewors,Fresh Food,Meat & Poultry,1,,92.98,Shoprite Private Label,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-474971,Clover Full Cream Milk,Clover,Fresh Food,Dairy & Eggs,2,,34.23,Clover SA,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-558929,Simba Smoked Beef Chips,Simba,Grocery Essentials,Snacks & Confectionery,120,,16.98,PepsiCo,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-912465,Nulaid Extra Large Eggs,Nulaid,Fresh Food,Dairy & Eggs,30,,76.56,Quantum Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-588262,Simba Cheese & Onion Chips,Simba,Grocery Essentials,Snacks & Confectionery,120,,18.65,PepsiCo,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-135879,Steakhouse Classic Beef T-Bone Steak,Steakhouse Classic,Fresh Food,Meat & Poultry,1,,110.15,Shoprite House Brand,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-162269,Cadbury Dairy Milk Chocolate Slab,Cadbury,Grocery Essentials,Snacks & Confectionery,150,,28.92,Mondelez,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-678923,Lays Lightly Salted Chips,Lays,Grocery Essentials,Snacks & Confectionery,120,,21.4,PepsiCo,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-885626,Liqui Fruit 100% Fruit Juice,Liqui Fruit,Beverages,Drinks & Beverages,1,,24.75,Pioneer Foods,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-257254,Freshmark Onions,Freshmark,Fresh Food,Produce,1,,20.88,Freshmark,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
SKU-364885,Omo Auto Washing Powder,Omo,,Cleaning Supplies,2,,88.48,Unilever,SAP_ERP,2026-02-24 04:09:53,BATCH-20260224-01
